cluster_id,disposition,target,classification,commune,arrondissement,n_nodes,road_length_m,centroid_lat,centroid_lng,nearest_chef_name,nearest_chef_dist_m,nearest_same_commune_chef_name,nearest_same_commune_chef_dist_m,water_separation,bridge_present,graph_component_size,dist_to_commune_boundary_m,resolution_action
20,ANNEX_TO_NEAREST_CHEF,Agbodjèdo,OSM graph fragmentation,Cotonou,Cotonou / Cotonou 3,10,197.6,6.397328,2.445407,Agbodjèdo,516.6,Agbodjèdo,516.6,False,True,6,167.6,Tiny component of 6 nodes; too small to justify a chef-lieu and too far (517 m) to be a clean OSM fix. Post-pass attribution: assign all 10 nodes to Agbodjèdo.
21,ANNEX_TO_NEAREST_CHEF,"Houégoudo
",Unknown,Abomey-Calavi (buffer),Zè / Yokpo,10,285.4,6.632605,2.331928,"Houégoudo
",1140.2,"Houégoudo
",1140.2,False,False,90099,584.0,"Edge-of-territory cluster in the main graph (comp=90099), no water in the way, nearest chef Houégoudo
 is 1140 m. Post-pass attribution."
22,NEW_CHEF_LIEU_SEED,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,10,327.3,6.546321,2.407285,Agassa-Godomey,4695.5,Agassa-Godomey,4695.5,True,False,40,17.0,"Water-isolated settlement of 10 nodes (327 m of road) in Abomey-Calavi / Akassato, 4696 m from the nearest chef (Agassa-Godomey) across major water with no bridge. Propose new chef-lieu at (lat=6.546321, lng=2.407285)."
23,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi (buffer),Tori-Bossito / Avamè,9,396.6,6.50512,2.235105,Dassèkomey,2575.3,Dassèkomey,2575.3,False,False,90099,455.3,"Cluster of 9 nodes (397 m road) in Tori-Bossito / Avamè; nearest same-commune chef (Dassèkomey) is 2575 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.505120, lng=2.235105)."
24,ANNEX_TO_NEAREST_CHEF,Bozoun,OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Kpanroun,8,355.3,6.67221,2.404442,Bozoun,1847.2,Bozoun,1847.2,False,False,12,1269.1,Tiny component of 12 nodes; too small to justify a chef-lieu and too far (1847 m) to be a clean OSM fix. Post-pass attribution: assign all 8 nodes to Bozoun.
25,ANNEX_TO_NEAREST_CHEF,"Zoundja
",OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Calavi,8,181.3,6.498374,2.325281,"Zoundja
",1232.8,"Zoundja
",1232.8,False,False,10,1250.5,"Tiny component of 10 nodes; too small to justify a chef-lieu and too far (1233 m) to be a clean OSM fix. Post-pass attribution: assign all 8 nodes to Zoundja
."
26,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / Ahomè-Lokpo,8,260.3,6.542279,2.407886,Agassa-Godomey,4769.8,Agassa-Godomey,4769.8,True,False,40,19.3,"Water-isolated stub (8 nodes, 260 m) with no bridge across. Tiny cluster — un-routable hinterland."
27,ANNEX_TO_NEAREST_CHEF,Djissoukpa,OSM graph fragmentation,Abomey-Calavi (buffer),Zè / Tangbo-Djèvié,8,220.8,6.557825,2.277772,Djissoukpa,1504.0,Djissoukpa,1504.0,False,False,8,58.0,Tiny component of 8 nodes; too small to justify a chef-lieu and too far (1504 m) to be a clean OSM fix. Post-pass attribution: assign all 8 nodes to Djissoukpa.
28,ANNEX_TO_NEAREST_CHEF,Avagbé,OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Kpanroun,7,130.5,6.649673,2.384559,Avagbé,2273.6,Avagbé,2273.6,False,False,7,3828.7,Tiny component of 7 nodes; too small to justify a chef-lieu and too far (2274 m) to be a clean OSM fix. Post-pass attribution: assign all 7 nodes to Avagbé.
29,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),Ouidah / Pahou,7,168.8,6.388933,2.217079,Houinmè-Daho,2916.2,Houinmè-Daho,2916.2,True,False,90099,666.4,"Water-isolated stub (7 nodes, 169 m) with no bridge across. Tiny cluster — un-routable hinterland."
30,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / So-Ava,7,163.6,6.494195,2.402834,Houèkè-Gbo,4198.8,Houèkè-Gbo,4198.8,True,False,63,106.6,"Water-isolated stub (7 nodes, 164 m) with no bridge across. Tiny cluster — un-routable hinterland."
31,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Zinvié,6,234.0,6.610975,2.401238,Gbodjè,2423.5,Gbodjè,2423.5,False,False,90099,1057.7,"Cluster of 6 nodes (234 m road) in Abomey-Calavi / Zinvié; nearest same-commune chef (Gbodjè) is 2424 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.610975, lng=2.401238)."
32,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,6,246.7,6.48106,2.395084,Houèkè-Gbo,3560.3,Houèkè-Gbo,3560.3,True,False,62,50.3,"Water-isolated stub (6 nodes, 247 m) with no bridge across. Tiny cluster — un-routable hinterland."
33,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),Ouidah / Pahou,6,147.9,6.355417,2.266689,Djèkpota,2446.3,Djèkpota,2446.3,True,False,90099,652.1,"Water-isolated stub (6 nodes, 148 m) with no bridge across. Tiny cluster — un-routable hinterland."
34,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),Zè / Yokpo,6,115.4,6.629884,2.327168,Wawata,687.0,Wawata,687.0,True,False,90099,676.1,"Water-isolated stub (6 nodes, 115 m) with no bridge across. Tiny cluster — un-routable hinterland."
35,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Zinvié,5,199.7,6.607264,2.392419,Gbodjè,1526.5,Gbodjè,1526.5,False,False,90099,1710.2,"Cluster of 5 nodes (200 m road) in Abomey-Calavi / Zinvié; nearest same-commune chef (Gbodjè) is 1526 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.607264, lng=2.392419)."
36,ANNEX_TO_NEAREST_CHEF,Gbodjè,Unknown,Abomey-Calavi,Abomey-Calavi / Zinvié,5,199.0,6.601112,2.392382,Gbodjè,955.3,Gbodjè,955.3,False,False,90099,1488.6,"Edge-of-territory cluster in the main graph (comp=90099), no water in the way, nearest chef Gbodjè is 955 m. Post-pass attribution."
37,ANNEX_TO_NEAREST_CHEF,Kpotomey,OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Zinvié,5,91.8,6.637006,2.383367,Kpotomey,3055.7,Kpotomey,3055.7,False,False,5,3895.7,Tiny component of 5 nodes; too small to justify a chef-lieu and too far (3056 m) to be a clean OSM fix. Post-pass attribution: assign all 5 nodes to Kpotomey.
38,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / Ahomè-Lokpo,5,160.8,6.628236,2.422072,Gbodjè,5406.4,Gbodjè,5406.4,True,False,90,158.3,"Water-isolated stub (5 nodes, 161 m) with no bridge across. Tiny cluster — un-routable hinterland."
39,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Zinvié,5,121.9,6.623019,2.415533,Gbodjè,4483.9,Gbodjè,4483.9,True,False,90,295.6,"Water-isolated stub (5 nodes, 122 m) with no bridge across. Tiny cluster — un-routable hinterland."
40,NEW_CHEF_LIEU_SEED,,Missing chef-lieu coverage,Abomey-Calavi,Abomey-Calavi / Zinvié,5,182.8,6.612126,2.40404,Gbodjè,2730.5,Gbodjè,2730.5,False,False,90099,786.3,"Cluster of 5 nodes (183 m road) in Abomey-Calavi / Zinvié; nearest same-commune chef (Gbodjè) is 2730 m away — IGN list is missing a chef-lieu point for this area. Propose seed at (lat=6.612126, lng=2.404040)."
41,ANNEX_TO_NEAREST_CHEF,Bozoun,OSM graph fragmentation,Abomey-Calavi,Abomey-Calavi / Kpanroun,4,154.9,6.668235,2.405075,Bozoun,2225.7,Bozoun,2225.7,False,False,12,1698.1,Tiny component of 12 nodes; too small to justify a chef-lieu and too far (2226 m) to be a clean OSM fix. Post-pass attribution: assign all 4 nodes to Bozoun.
42,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),Ouidah / Pahou,4,113.9,6.382572,2.222505,Houinmè-Daho,3172.2,Houinmè-Daho,3172.2,True,False,90099,491.3,"Water-isolated stub (4 nodes, 114 m) with no bridge across. Tiny cluster — un-routable hinterland."
43,OSM_GRAPH_FIX,Missèkplé,OSM graph fragmentation,Cotonou,Cotonou / Cotonou 9,4,85.8,6.387459,2.403293,Missèkplé,209.4,Missèkplé,209.4,False,True,8,1834.1,"Tiny component of 8 nodes sits 209 m from Missèkplé's main-graph territory. Add a connector in OSM at the cluster centroid (lat=6.387459, lng=2.403293); after re-pulling roads, the cluster will merge into the main graph and Missèkplé will claim it via normal propagation."
44,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi,Abomey-Calavi / Akassato,4,147.3,6.483907,2.397155,Houèkè-Gbo,3683.9,Houèkè-Gbo,3683.9,True,False,62,35.0,"Water-isolated stub (4 nodes, 147 m) with no bridge across. Tiny cluster — un-routable hinterland."
45,EXCLUDED_AREA,,Water-isolated pocket,Abomey-Calavi (buffer),So-Ava / Ahomè-Lokpo,4,128.8,6.541024,2.41177,Agassa-Godomey,5208.2,Agassa-Godomey,5208.2,True,False,40,440.1,"Water-isolated stub (4 nodes, 129 m) with no bridge across. Tiny cluster — un-routable hinterland."
